39.96   # distance
4.3  0.0   # stellar m/l, error
82.939205069 76.126749226  90.103094801  # incl
1.463776123547165  18.891350675685175  0.10167342640194296 # incl error
  0.046  3.0285e+06  3.0285e+06  3.0371e+06  1.4944e+06  1.4944e+06  1.5030e+06  1.0080e+05  1.0080e+05  1.0080e+05
  0.048  3.2468e+06  3.2468e+06  3.2566e+06  1.7035e+06  1.7035e+06  1.7132e+06  1.1001e+05  1.1001e+05  1.1001e+05
  0.050  3.4951e+06  3.4951e+06  3.5062e+06  1.9417e+06  1.9417e+06  1.9529e+06  1.2006e+05  1.2006e+05  1.2006e+05
  0.053  3.7777e+06  3.7777e+06  3.7903e+06  2.2133e+06  2.2133e+06  2.2260e+06  1.3103e+05  1.3103e+05  1.3103e+05
  0.055  4.0991e+06  4.0991e+06  4.1135e+06  2.5228e+06  2.5228e+06  2.5372e+06  1.4300e+05  1.4300e+05  1.4300e+05
  0.057  4.4648e+06  4.4648e+06  4.4813e+06  2.8754e+06  2.8754e+06  2.8919e+06  1.5606e+05  1.5606e+05  1.5606e+05
  0.060  4.8810e+06  4.8810e+06  4.8997e+06  3.2773e+06  3.2773e+06  3.2961e+06  1.7032e+05  1.7032e+05  1.7032e+05
  0.063  5.3545e+06  5.3545e+06  5.3758e+06  3.7353e+06  3.7353e+06  3.7566e+06  1.8588e+05  1.8588e+05  1.8588e+05
  0.066  5.8932e+06  5.8932e+06  5.9176e+06  4.2570e+06  4.2570e+06  4.2814e+06  2.0286e+05  2.0286e+05  2.0286e+05
  0.068  6.5063e+06  6.5063e+06  6.5340e+06  4.8515e+06  4.8515e+06  4.8793e+06  2.2139e+05  2.2139e+05  2.2139e+05
  0.072  7.2038e+06  7.2038e+06  7.2354e+06  5.5289e+06  5.5289e+06  5.5604e+06  2.4162e+05  2.4162e+05  2.4162e+05
  0.075  7.9975e+06  7.9975e+06  8.0334e+06  6.3005e+06  6.3005e+06  6.3364e+06  2.6369e+05  2.6369e+05  2.6369e+05
  0.078  8.9005e+06  8.9005e+06  8.9415e+06  7.1794e+06  7.1794e+06  7.2204e+06  2.8778e+05  2.8778e+05  2.8778e+05
  0.082  9.9280e+06  9.9280e+06  9.9746e+06  8.1806e+06  8.1806e+06  8.2272e+06  3.1406e+05  3.1406e+05  3.1406e+05
  0.085  1.1097e+07  1.1097e+07  1.1150e+07  9.3208e+06  9.3208e+06  9.3740e+06  3.4275e+05  3.4275e+05  3.4275e+05
  0.089  1.2427e+07  1.2427e+07  1.2487e+07  1.0619e+07  1.0619e+07  1.0680e+07  3.7406e+05  3.7406e+05  3.7406e+05
  0.093  1.3940e+07  1.3940e+07  1.4009e+07  1.2098e+07  1.2098e+07  1.2167e+07  4.0823e+05  4.0823e+05  4.0823e+05
  0.097  1.5661e+07  1.5661e+07  1.5739e+07  1.3782e+07  1.3782e+07  1.3860e+07  4.4552e+05  4.4552e+05  4.4552e+05
  0.101  1.7618e+07  1.7618e+07  1.7707e+07  1.5698e+07  1.5698e+07  1.5788e+07  4.8621e+05  4.8621e+05  4.8621e+05
  0.106  1.9844e+07  1.9844e+07  1.9946e+07  1.7880e+07  1.7880e+07  1.7982e+07  5.3062e+05  5.3062e+05  5.3062e+05
  0.111  2.2375e+07  2.2375e+07  2.2491e+07  2.0363e+07  2.0363e+07  2.0479e+07  5.7909e+05  5.7909e+05  5.7909e+05
  0.116  2.5254e+07  2.5254e+07  2.5385e+07  2.3189e+07  2.3189e+07  2.3320e+07  6.3199e+05  6.3199e+05  6.3199e+05
  0.121  2.8526e+07  2.8526e+07  2.8676e+07  2.6403e+07  2.6403e+07  2.6553e+07  6.8971e+05  6.8971e+05  6.8971e+05
  0.126  3.2246e+07  3.2246e+07  3.2416e+07  3.0060e+07  3.0060e+07  3.0230e+07  7.5271e+05  7.5271e+05  7.5271e+05
  0.132  3.6473e+07  3.6473e+07  3.6667e+07  3.4218e+07  3.4218e+07  3.4412e+07  8.2145e+05  8.2145e+05  8.2145e+05
  0.138  4.1277e+07  4.1277e+07  4.1496e+07  3.8947e+07  3.8947e+07  3.9167e+07  8.9648e+05  8.9648e+05  8.9648e+05
  0.144  4.6733e+07  4.6733e+07  4.6983e+07  4.4321e+07  4.4321e+07  4.4571e+07  9.7836e+05  9.7836e+05  9.7836e+05
  0.150  5.2930e+07  5.2930e+07  5.3214e+07  5.0429e+07  5.0429e+07  5.0713e+07  1.0677e+06  1.0677e+06  1.0677e+06
  0.157  5.9967e+07  5.9967e+07  6.0290e+07  5.7368e+07  5.7368e+07  5.7691e+07  1.1652e+06  1.1652e+06  1.1652e+06
  0.164  6.7954e+07  6.7954e+07  6.8320e+07  6.5249e+07  6.5249e+07  6.5615e+07  1.2716e+06  1.2716e+06  1.2716e+06
  0.171  7.7017e+07  7.7017e+07  7.7433e+07  7.4196e+07  7.4196e+07  7.4612e+07  1.3878e+06  1.3878e+06  1.3878e+06
  0.179  8.7297e+07  8.7297e+07  8.7769e+07  8.4349e+07  8.4349e+07  8.4821e+07  1.5145e+06  1.5145e+06  1.5145e+06
  0.187  9.8953e+07  9.8953e+07  9.9488e+07  9.5867e+07  9.5867e+07  9.6402e+07  1.6528e+06  1.6528e+06  1.6528e+06
  0.195  1.1216e+08  1.1216e+08  1.1277e+08  1.0893e+08  1.0893e+08  1.0953e+08  1.8038e+06  1.8038e+06  1.8038e+06
  0.204  1.2713e+08  1.2713e+08  1.2782e+08  1.2373e+08  1.2373e+08  1.2441e+08  1.9685e+06  1.9685e+06  1.9685e+06
  0.213  1.4407e+08  1.4407e+08  1.4485e+08  1.4049e+08  1.4049e+08  1.4127e+08  2.1482e+06  2.1482e+06  2.1482e+06
  0.223  1.6324e+08  1.6324e+08  1.6412e+08  1.5947e+08  1.5947e+08  1.6035e+08  2.3444e+06  2.3444e+06  2.3444e+06
  0.233  1.8493e+08  1.8493e+08  1.8592e+08  1.8093e+08  1.8093e+08  1.8193e+08  2.5584e+06  2.5584e+06  2.5584e+06
  0.243  2.0943e+08  2.0943e+08  2.1055e+08  2.0520e+08  2.0520e+08  2.0632e+08  2.7920e+06  2.7920e+06  2.7920e+06
  0.254  2.3709e+08  2.3709e+08  2.3836e+08  2.3261e+08  2.3261e+08  2.3388e+08  3.0470e+06  3.0470e+06  3.0470e+06
  0.265  2.6831e+08  2.6831e+08  2.6974e+08  2.6355e+08  2.6355e+08  2.6498e+08  3.3252e+06  3.3252e+06  3.3252e+06
  0.277  3.0350e+08  3.0350e+08  3.0511e+08  2.9844e+08  2.9844e+08  3.0005e+08  3.6287e+06  3.6287e+06  3.6287e+06
  0.290  3.4313e+08  3.4313e+08  3.4494e+08  3.3773e+08  3.3773e+08  3.3955e+08  3.9600e+06  3.9600e+06  3.9600e+06
  0.303  3.8771e+08  3.8771e+08  3.8974e+08  3.8195e+08  3.8195e+08  3.8399e+08  4.3215e+06  4.3215e+06  4.3215e+06
  0.316  4.3780e+08  4.3780e+08  4.4009e+08  4.3165e+08  4.3165e+08  4.3394e+08  4.7160e+06  4.7160e+06  4.7160e+06
  0.330  4.9401e+08  4.9401e+08  4.9658e+08  4.8743e+08  4.8743e+08  4.9000e+08  5.1466e+06  5.1466e+06  5.1466e+06
  0.345  5.5701e+08  5.5701e+08  5.5988e+08  5.4996e+08  5.4996e+08  5.5283e+08  5.6163e+06  5.6163e+06  5.6163e+06
  0.360  6.2750e+08  6.2750e+08  6.3070e+08  6.1994e+08  6.1994e+08  6.2314e+08  6.1290e+06  6.1290e+06  6.1290e+06
  0.377  7.0624e+08  7.0624e+08  7.0982e+08  6.9812e+08  6.9812e+08  7.0170e+08  6.6884e+06  6.6884e+06  6.6884e+06
  0.393  7.9406e+08  7.9406e+08  7.9804e+08  7.8532e+08  7.8532e+08  7.8930e+08  7.2988e+06  7.2988e+06  7.2988e+06
  0.411  8.9178e+08  8.9178e+08  8.9621e+08  8.8239e+08  8.8239e+08  8.8681e+08  7.9650e+06  7.9650e+06  7.9650e+06
  0.429  1.0003e+09  1.0003e+09  1.0052e+09  9.9020e+08  9.9020e+08  9.9509e+08  8.6918e+06  8.6918e+06  8.6918e+06
  0.448  1.1206e+09  1.1206e+09  1.1260e+09  1.1097e+09  1.1097e+09  1.1151e+09  9.4850e+06  9.4850e+06  9.4850e+06
  0.469  1.2535e+09  1.2535e+09  1.2595e+09  1.2417e+09  1.2417e+09  1.2477e+09  1.0351e+07  1.0351e+07  1.0351e+07
  0.489  1.4000e+09  1.4000e+09  1.4066e+09  1.3873e+09  1.3873e+09  1.3939e+09  1.1295e+07  1.1295e+07  1.1295e+07
  0.511  1.5610e+09  1.5610e+09  1.5682e+09  1.5473e+09  1.5473e+09  1.5545e+09  1.2326e+07  1.2326e+07  1.2326e+07
  0.534  1.7375e+09  1.7375e+09  1.7453e+09  1.7226e+09  1.7226e+09  1.7304e+09  1.3450e+07  1.3450e+07  1.3450e+07
  0.558  1.9301e+09  1.9301e+09  1.9386e+09  1.9139e+09  1.9139e+09  1.9225e+09  1.4677e+07  1.4677e+07  1.4677e+07
  0.583  2.1395e+09  2.1395e+09  2.1488e+09  2.1221e+09  2.1221e+09  2.1313e+09  1.6016e+07  1.6016e+07  1.6016e+07
  0.609  2.3665e+09  2.3665e+09  2.3764e+09  2.3476e+09  2.3476e+09  2.3575e+09  1.7477e+07  1.7477e+07  1.7477e+07
  0.636  2.6113e+09  2.6113e+09  2.6219e+09  2.5908e+09  2.5908e+09  2.6014e+09  1.9071e+07  1.9071e+07  1.9071e+07
  0.665  2.8741e+09  2.8741e+09  2.8854e+09  2.8518e+09  2.8518e+09  2.8632e+09  2.0810e+07  2.0810e+07  2.0810e+07
  0.694  3.1548e+09  3.1548e+09  3.1669e+09  3.1307e+09  3.1307e+09  3.1427e+09  2.2708e+07  2.2708e+07  2.2708e+07
  0.725  3.4531e+09  3.4531e+09  3.4658e+09  3.4269e+09  3.4269e+09  3.4396e+09  2.4778e+07  2.4778e+07  2.4778e+07
  0.758  3.7682e+09  3.7682e+09  3.7815e+09  3.7397e+09  3.7397e+09  3.7530e+09  2.7038e+07  2.7038e+07  2.7038e+07
  0.792  4.0991e+09  4.0991e+09  4.1128e+09  4.0681e+09  4.0681e+09  4.0819e+09  2.9503e+07  2.9503e+07  2.9503e+07
  0.827  4.4442e+09  4.4442e+09  4.4584e+09  4.4105e+09  4.4105e+09  4.4248e+09  3.2192e+07  3.2192e+07  3.2192e+07
  0.864  4.8017e+09  4.8017e+09  4.8162e+09  4.7652e+09  4.7652e+09  4.7797e+09  3.5126e+07  3.5126e+07  3.5126e+07
  0.903  5.1695e+09  5.1695e+09  5.1842e+09  5.1297e+09  5.1297e+09  5.1444e+09  3.8328e+07  3.8328e+07  3.8328e+07
  0.943  5.5449e+09  5.5449e+09  5.5597e+09  5.5017e+09  5.5017e+09  5.5164e+09  4.1821e+07  4.1821e+07  4.1821e+07
  0.985  5.9253e+09  5.9253e+09  5.9399e+09  5.8782e+09  5.8782e+09  5.8929e+09  4.5631e+07  4.5631e+07  4.5631e+07
  1.029  6.3076e+09  6.3076e+09  6.3220e+09  6.2564e+09  6.2564e+09  6.2708e+09  4.9789e+07  4.9789e+07  4.9789e+07
  1.075  6.6889e+09  6.6889e+09  6.7028e+09  6.6331e+09  6.6331e+09  6.6471e+09  5.4325e+07  5.4325e+07  5.4325e+07
